  Det20170722_222604_STGS     1.5000 19115597968  311460163  190521823  177868409 19795448364
  Det20170722_222605_STGS     0.0000  310518793  310017864  311493356  313273173 1245303186
  Det20170722_222607_STGS     0.0000  287700348  288337409  288950445  289984625 1154972827
  Det20170722_222608_STGS     0.0000  309478427  309937848  310064300  310531940 1240012514
  Det20170722_222610_STGS     0.0000  300550601  300849604  301476806  302280800 1205157811
  Det20170722_222611_STGS     0.0000  311297187  311307935  311936872  312919443 1247461437
  Det20170722_222612_STGS     0.0000  289689219  290267004  291117229  292473470 1163546922
  Det20170722_222614_STGS     0.0000  299180273  299151468  299556779  299322117 1197210636
  Det20170722_222615_STGS     0.0000  300801443  300568907  301337398  302319225 1205026972
  Det20170722_222617_STGS     0.0000  295792106  296372050  297002673  296937813 1186104643
  Det20170722_222618_STGS     0.0000  321756523  321864571  321582225  321378601 1286581920
  Det20170722_222620_STGS     0.0000  297644697  297496886  296998039  296351603 1188491225
  Det20170722_222621_STGS     0.0000  322643725  322816053  323510740  323691026 1292661545
  Det20170722_222623_STGS     0.0000  285550585  285551709  285436233  284848509 1141387036
  Det20170722_222624_STGS     0.0000  299867162  299587251  300328459  300777675 1200560547
  Det20170722_222625_STGS     0.0000  315426673  315355073  315942124  316168054 1262891924
  Det20170722_222627_STGS     0.0000  270203691  270554997  271501458  272622581 1084882726
  Det20170722_222628_STGS     0.0000  282560220  282818241  282233482  281640913 1129252855
  Det20170722_222630_STGS     0.0000  311137817  310661273  311596110  312679748 1246074949
  Det20170722_222631_STGS     0.0000  316091248  316228985  316330306  316456198 1265106737
  Det20170722_222633_STGS     0.0000  317766245  317739903  318656696  319688002 1273850845
  Det20170722_222635_STGS     0.0000  287736204  287608423  288238444  289035342 1152618412
  Det20170722_222636_STGS     0.0000  305443234  305483291  306725492  308450478 1226102494
  Det20170722_222637_STGS     0.0000  298465482  298282111  297972546  297829807 1192549946
  Det20170722_222639_STGS     0.0000  303901327  303992439  303329271  302602611 1213825647
  Det20170722_222640_STGS     0.0000  296384133  296105920  295831952  295978597 1184300602
  Det20170722_222642_STGS     0.0000  310728234  310794857  311027200  311156498 1243706789
  Det20170722_222643_STGS     0.0000  308700595  308544194  308381034  308313034 1233938857
  Det20170722_222644_STGS     0.0000  312440807  312493256  313324937  314602985 1252861985
  Det20170722_222646_STGS     0.0000  287817939  288280183  288352109  289065562 1153515793
  Det20170722_222647_STGS     0.0000  308414927  308699459  308381365  308391338 1233887090
  Det20170722_222649_STGS     0.0000  307322566  307985205  308687502  309870623 1233865897
